k_neighbors,rank,query_id,distance_bin_key,paired_reduction_vs_vanilla,delta_f_minus_v_s,f_n3p_time_s,vanilla_time_s,f_n3p_feasible,vanilla_feasible,fallback_f1_count,fallback_f2_count,fallback_f3_count,failure_reason
5,15,extreme_s04_q0099,d20_inf,-0.40812965747350916,1.0206260832492262,3.5213658961001784,2.500739812850952,False,False,6,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
5,16,extreme_s00_q0011,d20_inf,-0.406524958046371,1.016348353587091,3.5164368068799376,2.5000884532928467,False,False,4,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
5,17,extreme_s00_q0014,d16_20,-0.4051561813990081,1.0128938343841583,3.512902179034427,2.5000083446502686,False,False,4,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
5,18,extreme_s01_q0029,d12_16,-0.40481535405651314,1.0124925870914012,3.513614584924653,2.501121997833252,False,False,4,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
5,19,extreme_s01_q0028,d08_12,-0.40446928933577175,1.0113000327255577,3.5116135531570762,2.5003135204315186,False,False,4,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
5,20,extreme_s03_q0078,d16_20,-0.4044254536019043,1.0116698425263166,3.513168780133128,2.5014989376068115,False,False,4,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
10,1,extreme_s02_q0049,d12_16,-4.123784741405067,0.7441092731896788,0.9245525600854307,0.18044328689575195,True,True,33,2,0,
10,2,extreme_s01_q0026,d16_20,-2.4605590023350445,0.7292699692770839,1.0256538270041347,0.2963838577270508,True,True,9,1,0,
10,3,extreme_s02_q0048,d08_12,-2.429999396053048,0.8744478579610586,1.2343030329793692,0.35985517501831055,True,True,10,1,0,
10,4,extreme_s03_q0071,d20_inf,-2.311556406099799,0.5905119080562145,0.8459726471919566,0.2554607391357422,True,True,20,1,0,
10,5,extreme_s03_q0069,d12_16,-1.614644821342751,0.3664620076306164,0.5934233819134533,0.22696137428283691,True,True,35,2,1,
10,6,extreme_s02_q0059,d20_inf,-1.1407241682756601,0.19950945605523884,0.37440664996393025,0.1748971939086914,True,True,19,2,0,
