map_id,query_id,difficulty,map_seed,query_seed,start,goal,teacher_success,teacher_failure_reason,teacher_time_s,teacher_expansions,teacher_path_length_m,label_attempted,label_success,label_failure_reason,label_sample_count,total_segment_count,segment_lengths_m
3,8,low,20270623,20263628,"[24.8, 1.7000000000000002, 1.6007019382016596]","[24.1, 25.1, 1.6007019382016596]",True,,1.398899793624878,1982,23.733270586425224,True,True,,3,4,"[1.8, 8.0, 7.199999999999999]"
3,9,low,20270623,20263629,"[11.9, 13.600000000000001, -0.39131027846221117]","[26.200000000000003, 7.7, -0.39131027846221117]",True,,0.15316462516784668,17,15.588755559607785,True,True,,1,2,[8.0]
4,0,low,20270624,20264620,"[14.8, 11.9, 0.7311877639227847]","[21.6, 18.0, 0.7311877639227847]",True,,0.1532115936279297,7,9.227668582332619,True,True,,1,2,[2.8000000000000003]
4,1,low,20270624,20264621,"[15.4, 5.6000000000000005, 0.8621700546672263]","[23.200000000000003, 14.700000000000001, 0.8621700546672263]",True,,0.806891918182373,1065,12.096410574742857,True,False,short_progress,0,0,[]
4,2,low,20270624,20264622,"[17.1, 4.2, 1.7713168764723108]","[14.600000000000001, 16.5, 1.7713168764723108]",True,,0.14739370346069336,1,12.551493934986386,True,True,,1,2,[8.0]
4,3,low,20270624,20264623,"[12.200000000000001, 9.5, 0.9034901918165422]","[25.200000000000003, 26.0, 0.9034901918165422]",True,,1.1731007099151611,1465,21.39400839327523,True,True,,2,3,"[8.0, 7.600000000000001]"
4,4,low,20270624,20264624,"[24.400000000000002, 2.8000000000000003, 1.6118691053853509]","[23.8, 17.400000000000002, 1.6118691053853509]",True,,0.5561199188232422,641,14.677894871748018,True,True,,2,3,"[6.6000000000000005, 8.0]"
4,5,low,20270624,20264625,"[14.600000000000001, 1.2000000000000002, 1.1391013094785702]","[22.8, 19.0, 1.1391013094785702]",True,,0.3077242374420166,274,20.47576373419843,True,True,,2,3,"[8.0, 8.400000000000002]"
4,6,low,20270624,20264626,"[26.5, 17.0, 2.8517461636781736]","[3.7, 23.8, 2.8517461636781736]",True,,0.34284377098083496,337,24.155071263723027,True,True,,3,4,"[8.0, 7.600000000000001, 1.8000000000000007]"
4,7,low,20270624,20264627,"[16.400000000000002, 4.2, 1.4012081668927088]","[18.900000000000002, 18.8, 1.4012081668927088]",True,,0.16223692893981934,25,14.86569781478996,True,True,,2,3,"[6.4, 8.0]"
4,8,low,20270624,20264628,"[20.700000000000003, 5.800000000000001, 1.4855760958227675]","[22.400000000000002, 25.700000000000003, 1.4855760958227675]",True,,1.63917875289917,3361,20.490808035936872,True,True,,4,5,"[1.6, 2.8000000000000003, 4.6, 8.0]"
4,9,low,20270624,20264629,"[6.1000000000000005, 26.6, -1.8592910446277235]","[1.5, 11.100000000000001, -1.8592910446277235]",True,,1.3171322345733643,1543,16.81951946471227,True,True,,2,3,"[8.0, 6.4]"
5,0,low,20270625,20265620,"[9.200000000000001, 1.3, 1.5778384639032088]","[9.1, 15.5, 1.5778384639032088]",True,,0.6016802787780762,637,14.251246305054273,True,True,,1,2,[7.4]
5,1,low,20270625,20265621,"[18.2, 12.8, 2.1797539464314046]","[12.9, 20.400000000000002, 2.1797539464314046]",True,,0.14574646949768066,1,9.265527507918803,True,True,,1,2,[8.0]
5,2,low,20270625,20265622,"[1.0, 6.9, 1.602232508151171]","[0.5, 22.8, 1.602232508151171]",True,,0.14368462562561035,1,15.907859692617357,True,True,,1,2,[8.0]
5,3,low,20270625,20265623,"[24.900000000000002, 7.5, 2.946728733900921]","[9.700000000000001, 10.5, 2.946728733900921]",True,,0.5573451519012451,457,16.52594715651272,True,True,,3,4,"[1.4000000000000001, 7.800000000000001, 5.799999999999999]"
5,4,low,20270625,20265624,"[26.700000000000003, 6.6000000000000005, 2.4493184381145703]","[2.7, 26.5, 2.4493184381145703]",True,,0.7212238311767578,1513,31.692619490775506,True,True,,4,5,"[8.0, 7.0, 8.0, 8.0]"
5,5,low,20270625,20265625,"[15.8, 17.900000000000002, 2.5131928778593693]","[0.8, 28.8, 2.5131928778593693]",True,,0.14524412155151367,1,18.542114226808117,True,True,,2,3,"[8.0, 8.0]"
5,6,low,20270625,20265626,"[20.1, 18.900000000000002, -2.0344439357957027]","[11.700000000000001, 2.1, -2.0344439357957027]",True,,1.6370975971221924,1777,19.753257194864425,True,True,,4,5,"[8.0, 3.6000000000000014, 6.399999999999999, 1.4000000000000021]"
5,7,low,20270625,20265627,"[6.2, 13.600000000000001, 0.6783174648850627]","[23.200000000000003, 27.3, 0.6783174648850627]",True,,0.26955366134643555,297,22.117675319060464,True,False,no_reachable_candidate,0,0,[]
5,8,low,20270625,20265628,"[4.1000000000000005, 7.5, 1.6348113046292407]","[3.1, 23.1, 1.6348113046292407]",True,,0.5437154769897461,517,15.736629682501839,True,True,,3,4,"[8.0, 1.8000000000000007, 3.8000000000000007]"
5,9,low,20270625,20265629,"[15.600000000000001, 25.0, -0.49856790563821785]","[24.6, 20.1, -0.49856790563821785]",True,,0.14300966262817383,1,10.247438704378768,True,True,,1,2,[8.0]
6,0,low,20270626,20266620,"[5.800000000000001, 24.700000000000003, -0.006493415228225526]","[21.200000000000003, 24.6, -0.006493415228225526]",True,,0.1497023105621338,1,15.400324671902215,True,True,,1,2,[8.0]
6,1,low,20270626,20266621,"[1.4000000000000001, 16.6, -0.2837941092083279]","[15.8, 12.4, -0.2837941092083279]",True,,0.32909655570983887,241,15.505470212500462,True,True,,3,4,"[8.0, 3.4000000000000004, 3.5999999999999996]"
6,2,low,20270626,20266622,"[1.8, 12.8, 0.38865434494288104]","[25.0, 22.3, 0.38865434494288104]",True,,0.25299501419067383,209,25.65879099692307,True,True,,3,4,"[8.0, 2.4000000000000004, 8.000000000000002]"
6,3,low,20270626,20266623,"[9.700000000000001, 15.5, -0.6781193077490454]","[16.900000000000002, 9.700000000000001, -0.6781193077490454]",True,,0.18999171257019043,92,9.588764493327583,True,True,,1,2,[2.2]
6,4,low,20270626,20266624,"[14.600000000000001, 12.700000000000001, -0.6512873808051723]","[28.900000000000002, 1.8, -0.6512873808051723]",True,,0.14368176460266113,1,17.98054504179448,True,True,,2,3,"[8.0, 8.0]"
6,5,low,20270626,20266625,"[14.0, 28.5, -1.5237296634788857]","[15.3, 0.9, -1.5237296634788857]",True,,2.2717373371124268,3517,27.7746631011415,True,True,,3,4,"[8.0, 7.600000000000001, 8.0]"
6,6,low,20270626,20266626,"[3.3000000000000003, 14.9, 0.16994250454659587]","[20.200000000000003, 17.8, 0.16994250454659587]",True,,0.2678718566894531,163,17.551746234071683,True,True,,2,3,"[7.6000000000000005, 8.2]"
6,7,low,20270626,20266627,"[21.900000000000002, 3.5, 2.6798425755183835]","[0.8, 14.0, 2.6798425755183835]",True,,1.009126901626587,1159,24.557465439029507,True,True,,4,5,"[3.4000000000000004, 8.0, 8.000000000000002, 3.1999999999999993]"
6,8,low,20270626,20266628,"[13.4, 27.700000000000003, -1.501600048176314]","[14.8, 7.5, -1.501600048176314]",False,timeout,2.5019474029541016,2761,0.0,False,False,,0,0,[]
6,9,low,20270626,20266629,"[4.6000000000000005, 20.3, -0.6258168802801429]","[26.6, 4.4, -0.6258168802801429]",False,timeout,2.5001466274261475,2639,0.0,False,False,,0,0,[]
7,0,medium,20270627,20267620,"[19.700000000000003, 4.3, 1.7652764430100023]","[15.8, 24.1, 1.7652764430100023]",True,,0.31810784339904785,265,20.535796887605898,True,True,,4,5,"[1.4000000000000001, 8.0, 4.800000000000001, 5.4]"
7,1,medium,20270627,20267621,"[27.6, 4.4, 2.692204327631606]","[5.0, 15.3, 2.692204327631606]",False,timeout,2.501009225845337,2925,0.0,False,False,,0,0,[]
7,2,medium,20270627,20267622,"[6.9, 22.0, -0.6991925897216694]","[24.5, 7.2, -0.6991925897216694]",False,timeout,2.500257968902588,5199,0.0,False,False,,0,0,[]
7,3,medium,20270627,20267623,"[20.700000000000003, 23.3, -1.9826036321566132]","[13.100000000000001, 5.9, -1.9826036321566132]",True,,0.26894164085388184,235,19.369018060770333,True,False,short_progress,0,0,[]
7,4,medium,20270627,20267624,"[21.200000000000003, 28.900000000000002, -3.0202406530190298]","[4.800000000000001, 26.900000000000002, -3.0202406530190298]",True,,0.2634158134460449,289,17.030894372300782,True,True,,3,4,"[3.0, 2.6000000000000005, 8.0]"
7,5,medium,20270627,20267625,"[26.1, 7.0, 2.7087835939316456]","[10.3, 14.3, 2.7087835939316456]",True,,0.145920991897583,1,17.40488437192273,True,True,,2,3,"[8.0, 8.0]"
7,6,medium,20270627,20267626,"[11.9, 17.0, 0.04594465580811995]","[20.6, 17.400000000000002, 0.04594465580811995]",False,timeout,2.5008673667907715,3179,0.0,False,False,,0,0,[]
7,7,medium,20270627,20267627,"[24.400000000000002, 29.3, -2.487823343289701]","[4.3, 13.9, -2.487823343289701]",False,timeout,2.5000367164611816,5431,0.0,False,False,,0,0,[]
7,8,medium,20270627,20267628,"[11.0, 4.6000000000000005, -0.24497866312686414]","[26.200000000000003, 0.8, -0.24497866312686414]",True,,0.3466508388519287,275,15.968315715959099,True,True,,3,4,"[8.0, 4.4, 2.5999999999999996]"
7,9,medium,20270627,20267629,"[12.600000000000001, 15.9, -2.279422598922567]","[3.0, 4.7, -2.279422598922567]",False,timeout,2.5011534690856934,3347,0.0,False,False,,0,0,[]
8,0,medium,20270628,20268620,"[10.0, 7.4, 0.9949459027968361]","[18.7, 20.8, 0.9949459027968361]",True,,0.2534019947052002,175,16.463641166002503,True,False,short_progress,0,0,[]
8,1,medium,20270628,20268621,"[11.700000000000001, 17.5, -0.8393996637734165]","[22.200000000000003, 5.800000000000001, -0.8393996637734165]",True,,0.1446528434753418,1,15.720687007888683,True,True,,1,2,[8.0]
8,2,medium,20270628,20268622,"[16.1, 25.5, -0.9360001123779085]","[27.0, 10.700000000000001, -0.9360001123779085]",True,,1.9760494232177734,3201,18.643392862932387,True,False,short_progress,0,0,[]
8,3,medium,20270628,20268623,"[6.800000000000001, 1.8, 1.397343342008195]","[10.9, 25.200000000000003, 1.397343342008195]",True,,1.0178196430206299,1413,24.470377988368135,True,True,,4,5,"[8.0, 2.200000000000001, 2.4000000000000004, 8.0]"
8,4,medium,20270628,20268624,"[7.9, 17.8, -1.1160770519739271]","[12.3, 8.8, -1.1160770519739271]",True,,0.1768639087677002,61,10.30076838345696,True,True,,2,3,"[2.6, 3.4]"
8,5,medium,20270628,20268625,"[19.3, 15.9, -2.80539687608259]","[0.7000000000000001, 9.4, -2.80539687608259]",False,timeout,2.5002920627593994,2818,0.0,False,False,,0,0,[]
8,6,medium,20270628,20268626,"[25.6, 23.400000000000002, -2.2111527918657394]","[10.4, 3.0, -2.2111527918657394]",True,,0.8360190391540527,1337,26.65098794374667,True,False,short_progress,0,0,[]
8,7,medium,20270628,20268627,"[28.0, 22.6, 2.5569913974694667]","[21.200000000000003, 27.1, 2.5569913974694667]",True,,0.14167213439941406,1,8.154140052758473,True,True,,1,2,[8.0]
8,8,medium,20270628,20268628,"[22.900000000000002, 21.8, -2.3714604797391248]","[9.600000000000001, 8.9, -2.3714604797391248]",True,,2.1925697326660156,3633,18.75496011169735,True,True,,3,4,"[7.4, 1.8000000000000007, 7.999999999999998]"
8,9,medium,20270628,20268629,"[6.5, 14.4, 0.49604367836617813]","[23.5, 23.6, 0.49604367836617813]",True,,0.5185117721557617,1128,20.153668005444572,True,True,,3,4,"[4.4, 1.0, 8.200000000000001]"
9,0,medium,20270629,20269620,"[16.2, 17.7, 2.634494149197456]","[7.2, 22.700000000000003, 2.634494149197456]",True,,0.16378307342529297,26,10.529190751946333,True,True,,2,3,"[3.0, 3.2]"
9,1,medium,20270629,20269621,"[1.7000000000000002, 17.1, -0.2734192682750829]","[28.8, 9.5, -0.2734192682750829]",True,,0.33363890647888184,373,28.658379922459513,True,True,,4,5,"[8.0, 5.0, 8.0, 7.0]"
9,2,medium,20270629,20269622,"[11.700000000000001, 11.9, -2.1337472247664033]","[5.2, 1.6, -2.1337472247664033]",True,,0.9296247959136963,825,13.072413397345235,True,True,,2,3,"[7.4, 4.800000000000001]"
9,3,medium,20270629,20269623,"[22.700000000000003, 11.200000000000001, 2.671746776858866]","[3.4000000000000004, 21.0, 2.671746776858866]",True,,0.2563455104827881,193,21.94101643818283,True,True,,3,4,"[4.4, 8.0, 5.6]"
9,4,medium,20270629,20269624,"[2.9000000000000004, 9.9, 0.25732371497108864]","[20.0, 14.4, 0.25732371497108864]",True,,0.19475388526916504,89,17.976458959211786,True,True,,2,3,"[8.200000000000001, 3.799999999999999]"
9,5,medium,20270629,20269625,"[22.3, 25.8, -2.224706948982232]","[3.6, 1.4000000000000001, -2.224706948982232]",False,timeout,2.5005481243133545,4857,0.0,False,False,,0,0,[]
9,6,medium,20270629,20269626,"[12.200000000000001, 1.8, 1.7874202857444845]","[6.5, 27.700000000000003, 1.7874202857444845]",True,,0.271254301071167,232,26.677510357057752,True,True,,3,4,"[6.6000000000000005, 4.8, 8.000000000000002]"
9,7,medium,20270629,20269627,"[28.5, 8.700000000000001, -2.9637173905837164]","[19.6, 7.1000000000000005, -2.9637173905837164]",True,,0.15160655975341797,16,9.081572393010862,True,True,,1,2,[5.6000000000000005]
9,8,medium,20270629,20269628,"[9.4, 25.1, -1.0882830317724197]","[14.9, 14.600000000000001, -1.0882830317724197]",True,,0.15358185768127441,17,12.063368956178712,True,True,,1,2,[4.2]
9,9,medium,20270629,20269629,"[6.7, 3.6, 0.814110896965575]","[25.3, 23.3, 0.814110896965575]",True,,1.2804031372070312,2233,27.281505548816902,True,False,short_progress,0,0,[]
10,0,medium,20270630,20270620,"[27.5, 26.1, -2.1943001016150303]","[12.9, 5.800000000000001, -2.1943001016150303]",False,timeout,2.5000123977661133,4255,0.0,False,False,,0,0,[]
10,1,medium,20270630,20270621,"[27.700000000000003, 0.5, 2.714965160462917]","[12.3, 7.5, 2.714965160462917]",False,timeout,2.5002410411834717,2514,0.0,False,False,,0,0,[]
10,2,medium,20270630,20270622,"[13.3, 25.6, -2.3774678762164063]","[1.3, 14.100000000000001, -2.3774678762164063]",True,,0.4315378665924072,545,16.9383310573237,True,True,,2,3,"[5.2, 8.0]"
10,3,medium,20270630,20270623,"[26.400000000000002, 25.0, -1.9052580609549652]","[21.5, 10.9, -1.9052580609549652]",True,,0.6821784973144531,561,16.18161021432415,True,True,,3,4,"[3.8000000000000003, 8.0, 4.0]"
10,4,medium,20270630,20270624,"[10.9, 28.900000000000002, -1.7429871413178357]","[8.1, 12.8, -1.7429871413178357]",True,,0.1943809986114502,81,16.466953203992883,True,True,,2,3,"[8.0, 5.600000000000001]"
10,5,medium,20270630,20270625,"[5.5, 6.800000000000001, 0.9125768696810034]","[18.8, 24.0, 0.9125768696810034]",True,,2.2637789249420166,4866,22.184685707376925,True,True,,6,7,"[6.2, 1.2000000000000002, 1.4000000000000004, 3.1999999999999993, 2.4000000000000004, 6.4]"
10,6,medium,20270630,20270626,"[17.5, 29.0, -1.3839761658643006]","[20.6, 12.600000000000001, -1.3839761658643006]",True,,0.15812444686889648,17,16.707195604888327,True,True,,2,3,"[8.0, 8.0]"
10,7,medium,20270630,20270627,"[28.400000000000002, 4.7, 1.7156088250338357]","[25.6, 23.900000000000002, 1.7156088250338357]",False,timeout,2.500121831893921,2958,0.0,False,False,,0,0,[]
10,8,medium,20270630,20270628,"[8.9, 26.8, -2.45877434261064]","[1.4000000000000001, 20.700000000000003, -2.45877434261064]",True,,0.16469955444335938,46,9.950316258795574,True,True,,1,2,[2.0]
10,9,medium,20270630,20270629,"[11.700000000000001, 6.0, 1.395402106251474]","[14.5, 21.8, 1.395402106251474]",True,,0.285381555557251,259,16.577368040137213,True,True,,2,3,"[6.4, 3.5999999999999996]"
11,0,medium,20270631,20271620,"[24.900000000000002, 24.200000000000003, -1.8333427285349957]","[20.6, 8.200000000000001, -1.8333427285349957]",True,,0.15757322311401367,17,16.56916201313006,True,True,,2,3,"[8.0, 8.0]"
11,1,medium,20270631,20271621,"[28.900000000000002, 14.8, 2.8416454970928515]","[19.200000000000003, 17.8, 2.8416454970928515]",True,,0.17039847373962402,31,10.387215945303714,True,True,,1,2,[8.0]
11,2,medium,20270631,20271622,"[27.900000000000002, 22.200000000000003, -1.5944605475739697]","[27.5, 5.300000000000001, -1.5944605475739697]",True,,1.5527069568634033,2071,16.972825775642217,True,False,short_progress,0,0,[]
11,3,medium,20270631,20271623,"[27.700000000000003, 4.5, 2.8809902618424523]","[15.700000000000001, 7.7, 2.8809902618424523]",True,,0.2090587615966797,103,12.768230230377743,True,True,,2,3,"[6.4, 4.4]"
11,4,medium,20270631,20271624,"[16.1, 6.9, 1.4477649582124035]","[18.400000000000002, 25.5, 1.4477649582124035]",True,,0.22704863548278809,162,18.81781758245592,True,True,,2,3,"[7.4, 7.0]"
11,5,medium,20270631,20271625,"[8.1, 16.7, 0.8457275489371414]","[15.100000000000001, 24.6, 0.8457275489371414]",True,,0.9739973545074463,1361,10.823768581562328,True,False,short_progress,0,0,[]
11,6,medium,20270631,20271626,"[6.300000000000001, 18.0, 0.7921094720287709]","[13.700000000000001, 25.5, 0.7921094720287709]",True,,0.21729350090026855,103,10.548013965585113,True,True,,1,2,[4.800000000000001]
11,7,medium,20270631,20271627,"[25.8, 29.0, -3.061949269853371]","[4.5, 27.3, -3.061949269853371]",True,,0.21601533889770508,137,21.52995360250303,True,True,,2,3,"[8.0, 8.0]"
11,8,medium,20270631,20271628,"[5.5, 1.0, 0.02246812858582549]","[14.4, 1.2000000000000002, 0.02246812858582549]",True,,0.1403791904449463,1,8.902246907382429,True,True,,1,2,[8.0]
11,9,medium,20270631,20271629,"[9.4, 21.8, 0.1619673519860354]","[24.700000000000003, 24.3, 0.1619673519860354]",True,,0.14278912544250488,1,15.502902953963172,True,True,,1,2,[8.0]
12,0,medium,20270632,20272620,"[21.900000000000002, 22.200000000000003, -1.876923152571062]","[15.8, 2.9000000000000004, -1.876923152571062]",True,,0.5153617858886719,529,20.8618134234186,True,False,short_progress,0,0,[]
12,1,medium,20270632,20272621,"[16.0, 10.0, 2.370827591993686]","[5.6000000000000005, 20.1, 2.370827591993686]",True,,1.641000509262085,1661,14.514152416182624,True,False,short_progress,0,0,[]
