query_id,difficulty_bucket,m1_success,m3_success,m1_expansions,m3_expansions,expansions_ratio_m3_over_m1,m1_time_s,m3_time_s,time_ratio_m3_over_m1,m3_failure_reason
extreme_s00_q0004,Extreme,True,True,1.0,1.0,1.0,0.14948225021362305,0.15788602828979492,1.0562192371613497,
extreme_s00_q0005,Extreme,True,True,1933.0,41.0,0.021210553543714435,1.1191792488098145,0.40305066108703613,0.3601305702510642,
extreme_s00_q0006,Extreme,False,False,4613.0,257.0,0.05571211792759592,2.5000882148742676,2.507628917694092,1.003016174699341,timeout
extreme_s00_q0007,Extreme,False,False,6137.0,297.0,0.04839498126120254,2.506680965423584,2.6038074493408203,1.038747046495733,timeout
extreme_s01_q0008,Extreme,True,True,297.0,15.0,0.050505050505050504,0.29988765716552734,0.24782395362854004,0.8263893084861109,
extreme_s01_q0009,Extreme,True,True,773.0,1.0,0.00129366106080207,0.5300872325897217,0.22911357879638672,0.43221863253914033,
extreme_s01_q0010,Extreme,True,True,2133.0,190.0,0.08907641819034225,1.43613600730896,1.6147396564483643,1.1243640213952109,
extreme_s01_q0011,Extreme,False,False,5489.0,201.0,0.03661869192931317,2.5007705688476562,2.5701513290405273,1.027743752688533,timeout
extreme_s01_q0012,Extreme,True,True,163.0,13.0,0.07975460122699386,0.23333525657653809,0.3645608425140381,1.5623907328143345,
extreme_s01_q0013,Extreme,True,True,156.0,1.0,0.00641025641025641,0.2286393642425537,0.2423255443572998,1.0598592467228303,
extreme_s01_q0014,Extreme,False,True,5519.0,9.0,0.001630730204747237,2.5000576972961426,0.26847028732299805,0.10738563658484902,
extreme_s01_q0015,Extreme,False,False,8469.0,273.0,0.032235210768685796,2.5001022815704346,2.5080387592315674,1.0031744611889029,timeout
extreme_s02_q0016,Extreme,True,True,456.0,1.0,0.0021929824561403508,0.36171960830688477,0.1694173812866211,0.46836659499776556,
extreme_s02_q0017,Extreme,False,True,4770.0,129.0,0.027044025157232705,2.5004169940948486,1.285999059677124,0.5143138375375887,
extreme_s02_q0018,Extreme,True,True,349.0,1.0,0.0028653295128939827,0.3132748603820801,0.2189478874206543,0.6989002793062247,
extreme_s02_q0019,Extreme,True,False,1545.0,529.0,0.3423948220064725,0.5006279945373535,2.520951509475708,5.03557838751187,timeout
extreme_s02_q0020,Extreme,True,True,829.0,9.0,0.010856453558504222,0.5607421398162842,0.21707606315612793,0.3871227927104756,
extreme_s02_q0021,Extreme,True,True,413.0,9.0,0.021791767554479417,0.3525583744049072,0.23299908638000488,0.660880873339884,
extreme_s02_q0022,Extreme,False,True,4432.0,103.0,0.023240072202166066,2.5002453327178955,1.0254828929901123,0.4101529076250128,
extreme_s02_q0023,Extreme,True,False,7309.0,273.0,0.03735121083595567,2.2665908336639404,2.5288500785827637,1.1157064790978977,timeout
extreme_s03_q0024,Extreme,True,True,133.0,1.0,0.007518796992481203,0.2159280776977539,0.2335216999053955,1.081479085051034,
extreme_s03_q0025,Extreme,False,False,4693.0,265.0,0.056467078627743444,2.500018835067749,2.584414482116699,1.0337580044858594,timeout
extreme_s03_q0026,Extreme,True,True,607.0,57.0,0.09390444810543658,0.4474341869354248,0.936384916305542,2.092788042681871,
extreme_s03_q0027,Extreme,True,True,121.0,17.0,0.14049586776859505,0.17990326881408691,0.19159889221191406,1.0650106219577005,
extreme_s03_q0028,Extreme,True,True,509.0,1.0,0.0019646365422396855,0.4556596279144287,0.24421334266662598,0.5359556293902965,
extreme_s03_q0029,Extreme,True,True,3449.0,41.0,0.01188750362423891,2.1790482997894287,0.5234460830688477,0.2402177515383347,
extreme_s03_q0030,Extreme,True,True,2765.0,9.0,0.0032549728752260397,1.4834327697753906,0.33877992630004883,0.22837565220521866,
extreme_s03_q0031,Extreme,False,True,5434.0,89.0,0.016378358483621642,2.5000016689300537,1.2012333869934082,0.48049303403365723,
extreme_s04_q0032,Extreme,True,True,871.0,1.0,0.001148105625717566,0.6079318523406982,0.22221708297729492,0.3655295936899842,
extreme_s04_q0033,Extreme,False,True,4514.0,33.0,0.007310589277802392,2.5003764629364014,0.6356415748596191,0.2542183484294729,
extreme_s04_q0034,Extreme,True,False,1067.0,232.0,0.21743205248359887,0.6481680870056152,2.5001955032348633,3.857325828528802,timeout
extreme_s04_q0035,Extreme,True,True,2207.0,137.0,0.06207521522428636,1.280541181564331,0.9716770648956299,0.7588018869558045,
extreme_s04_q0036,Extreme,True,True,29.0,29.0,1.0,0.16167712211608887,0.2014634609222412,1.2460851497442205,
extreme_s04_q0037,Extreme,True,True,113.0,1.0,0.008849557522123894,0.1946115493774414,0.1623063087463379,0.834001421115821,
extreme_s04_q0038,Extreme,True,True,9.0,1.0,0.1111111111111111,0.15271759033203125,0.16949844360351562,1.1098816006394565,
extreme_s04_q0039,Extreme,False,False,5758.0,513.0,0.08909343522056269,2.500462055206299,2.5420334339141846,1.016625478727553,timeout
