query_id,method,bucket,control_time_s,candidate_time_s,delta_candidate_minus_control_s,speedup_ratio_control_over_candidate,control_feasible,candidate_feasible,control_collision_violation_count,candidate_collision_violation_count,control_fallback_triggered,candidate_fallback_triggered,control_total_expansions,candidate_total_expansions,control_path_inflation_ratio,candidate_path_inflation_ratio
easy_s01_q0001,vanilla_ha,Easy,0.39273810386657715,0.3990590572357178,0.006320953369140625,0.9841603560813132,True,True,0,0,False,False,713,713,,
easy_s02_q0002,f_n3p_knn,Easy,0.11520349999773316,0.005892417000723071,-0.10931108299701009,19.55114513850535,True,True,0,0,True,True,1,0,,
easy_s02_q0002,n3p_k1,Easy,3.435955583001487,3.441408999999112,0.005453416997625027,0.998415353421338,False,False,0,0,True,True,8000,7945,,
easy_s02_q0002,vanilla_ha,Easy,2.5002150535583496,2.500128984451294,-8.606910705566406e-05,1.0000344258666616,False,False,0,0,False,False,5760,5777,,
easy_s03_q0003,f_n3p_knn,Easy,0.44550412500393577,0.12934895799844526,-0.3161551670054905,3.4442034315366548,True,True,0,0,True,True,10,7,0.14207299869709678,0.14089486213321334
easy_s03_q0003,n3p_k1,Easy,0.7009572919996572,0.7030215419945307,0.002064249994873535,0.9970637457438116,True,True,0,0,True,True,1867,1867,0.0,0.0
easy_s03_q0003,vanilla_ha,Easy,0.6965758800506592,0.7032079696655273,0.006632089614868164,0.9905688076629412,True,True,0,0,False,False,1867,1867,,
easy_s04_q0004,f_n3p_knn,Easy,0.11184120799589437,0.00545974999840837,-0.106381457997486,20.48467567718273,True,True,0,0,False,False,1,0,0.11503491279299705,0.0524526076677192
easy_s04_q0004,n3p_k1,Easy,0.11071024999546353,0.004279708999092691,-0.10643054099637084,25.86863967128008,True,True,0,0,False,False,1,0,0.11503491279299705,0.0524526076677192
easy_s04_q0004,vanilla_ha,Easy,0.11126208305358887,0.11331510543823242,0.0020530223846435547,0.9818821826383717,True,True,0,0,False,False,15,15,,
extreme_s00_q0000,f_n3p_knn,Extreme,0.22194979100459022,0.01207270900340518,-0.20987708200118504,18.384423159871407,True,True,0,0,True,True,2,0,0.09310811048601586,0.09248733149575394
extreme_s00_q0000,n3p_k1,Extreme,0.11456641699624015,0.11915487499936717,0.004588458003127016,0.961491646874277,True,True,0,0,True,True,7,7,-0.009248804720902282,-0.009248804720902282
extreme_s00_q0000,vanilla_ha,Extreme,0.17728614807128906,0.18204402923583984,0.004757881164550781,0.9738641185622908,True,True,0,0,False,False,155,155,,
extreme_s01_q0001,f_n3p_knn,Extreme,0.22495250000065425,0.011517749997437932,-0.21343475000321632,19.530941377499413,True,True,0,0,False,False,2,0,0.1429019444960482,0.14279763481163021
extreme_s01_q0001,n3p_k1,Extreme,0.2236197500023991,0.010944708999886643,-0.21267504100251244,20.43176753303493,True,True,0,0,False,False,2,0,0.1429019444960482,0.14279763481163021
extreme_s01_q0001,vanilla_ha,Extreme,0.30542612075805664,0.3048257827758789,-0.0006003379821777344,1.0019694462086206,True,True,0,0,False,False,459,459,,
extreme_s02_q0002,f_n3p_knn,Extreme,0.34827183299785247,0.14289937500143424,-0.20537245799641823,2.437182338931552,True,True,0,0,True,True,39,37,-0.04101736949486279,-0.042725179231058896
extreme_s02_q0002,n3p_k1,Extreme,2.74165825000091,2.7521179159957683,0.01045966599485837,0.9961994121203656,True,True,0,0,True,True,6716,6716,0.0,0.0
extreme_s02_q0002,vanilla_ha,Extreme,1.9221630096435547,1.9154293537139893,-0.00673365592956543,1.0035154812243579,True,True,0,0,False,False,4699,4699,,
extreme_s03_q0003,f_n3p_knn,Extreme,0.4185293750051642,0.31461879199923715,-0.10391058300592704,1.3302745597159975,True,True,0,0,True,True,143,142,-0.01230306822770788,-0.01249499565750789
extreme_s03_q0003,n3p_k1,Extreme,2.471415459003765,2.471004291997815,-0.00041116700595011935,1.0001663967186467,True,True,0,0,True,True,5622,5622,0.0,0.0
extreme_s03_q0003,vanilla_ha,Extreme,1.5104091167449951,1.5076658725738525,-0.002743244171142578,1.0018195305876756,True,True,0,0,False,False,3601,3601,,
extreme_s04_q0004,f_n3p_knn,Extreme,0.3333178749962826,0.014458124998782296,-0.31885974999750033,23.054018071109194,True,True,0,0,False,False,3,0,0.3057419370089194,0.30353831065289216
extreme_s04_q0004,n3p_k1,Extreme,0.33105162500578444,0.01313437500357395,-0.3179172500022105,25.204977390679275,True,True,0,0,False,False,3,0,0.3057419370089194,0.30353831065289216
extreme_s04_q0004,vanilla_ha,Extreme,0.20062685012817383,0.20268487930297852,0.0020580291748046875,0.9898461632565679,True,True,0,0,False,False,193,193,,
