method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
lo_ha,Complex,50,43,0.86,43,0.86,0.25209176540374756,2.5017592549324035,0.14217877388000488,0.7458639717102051,262.0,5460.4,0.0,0.016778547496762584,0.26,0.07430055042578809,0,0.0,0.0,0.0,0.0,
lo_ha,Easy,50,49,0.98,49,0.98,0.17121028900146484,0.8059999227523804,0.14417314529418945,0.2766059398651123,66.5,1485.6999999999996,0.0,0.031491741648183545,0.02,0.09294201266378177,0,0.0,0.0,0.0,0.0,
lo_ha,Extreme,50,40,0.8,40,0.8,0.40447545051574707,2.50066739320755,0.14232468605041504,0.9704399061203003,545.0,6524.8,0.0003762421102015967,0.02868138479296747,0.16,0.07363902387046212,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,50,44,0.88,44,0.88,0.597867069500353,3.9356278070496034,0.0003749290044652298,1.2371406700600347,244.0,6290.349999999999,0.0,0.15031684667611503,0.62,0.07458673786487535,0,0.88,0.0,0.88,0.22,1.0
n3p_k1,Easy,50,49,0.98,49,0.98,0.3290319349980564,1.5442271871994304,0.0003880260046571493,0.48027804807949,11.0,1204.7999999999997,0.0,0.0995219975275684,0.46,0.12518915779126094,0,0.62,0.0,0.62,0.04,1.0
n3p_k1,Extreme,50,44,0.88,44,0.88,0.8394150075037032,3.5122338741024577,0.0004907870024908334,1.1999297630405636,427.0,5840.349999999999,0.0,0.04602119484639905,0.64,0.07373202645032578,0,0.9,0.0,0.9,0.22,1.0
ss_rrt,Complex,50,26,0.52,26,0.52,0.6001790385016648,2.5046437220982627,0.00031303599826060236,1.2332798073999585,208.0,2692.349999999999,0.02273000974015371,0.29794554401053097,0.08,0.09424103615530927,0,0.0,0.0,0.0,0.0,
ss_rrt,Easy,50,37,0.74,37,0.74,0.1672856135010079,2.5032686437021767,0.00031995300378184766,0.7810609826399013,54.5,2683.5,2.220446049250313e-16,0.24560603637582096,0.08,0.12941701989735455,0,0.0,0.0,0.0,0.0,
ss_rrt,Extreme,50,19,0.38,19,0.38,2.500291736498184,2.503037887498067,0.00043909999658353627,1.602636356439907,969.5,3230.7999999999997,0.011988812908139357,0.18462570910322001,0.0,0.0831250570276153,0,0.0,0.0,0.0,0.0,
vanilla_ha,Complex,50,39,0.78,39,0.78,0.6735504865646362,2.5011084198951723,0.14307355880737305,1.0976139163970948,811.0,4235.0,,,0.14,0.0766210890444361,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,50,47,0.94,47,0.94,0.2136218547821045,2.324052011966704,0.14457321166992188,0.6004624319076538,113.0,2831.6,,,0.06,0.11693330574643523,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,50,36,0.72,36,0.72,0.7799762487411499,2.5007784962654114,0.14372801780700684,1.2155736875534058,1017.0,4284.3,,,0.18,0.07780041081328626,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,50,50,1.0,50,1.0,0.6156244174999301,1.1889208409487757,0.328074249002384,0.668745992500044,21.0,463.14999999999986,0.05528949828629259,0.19777369000853356,0.54,0.09458398067278717,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,50,50,1.0,50,1.0,0.6132823409971024,0.8712736598499757,0.3251266420047614,0.586604314599681,4.0,82.34999999999978,0.06667210466766882,0.25300911892519357,0.54,0.32435728834945066,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,50,48,0.96,48,0.96,0.6564279745034582,1.7322089745499392,0.3324138590032817,0.8399554315200658,64.5,990.9499999999998,0.05540002143038403,0.17614204629130778,0.7,0.07425692646639154,0,0.0,0.0,0.0,0.0,
