arxiv_id,citation_key,title,authors_short,year,direction_tag,status,source,reason,size_bytes,lines,sections,formulas,pdf_path,md_path
2505.21968,Ryu2025Enhanced,Enhanced SIRRT*: A Structure-Aware RRT* for 2D Path Planning with Hybrid Smoothing and Bidirectional Rewiring,Hyejeong Ryu,2025,F_hybrid_astar,success,arxiv-e-print,,34686,263,14,100,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Ryu2025Enhanced.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Ryu2025Enhanced.md
2505.24339,Kim2025Imitation,Imitation Learning-Based Path Generation for the Complex Assembly of Deformable Objects,Yitaek Kim et al.,2025,L_learning_path_optimization,success,arxiv-e-print,,14451,112,14,29,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Kim2025Imitation.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Kim2025Imitation.md
2506.00351,Yang2025Recasting,Recasting Classical Motion Planning for Contact-Rich Manipulation,Lin Yang et al.,2025,J_homotopy_topology,success,pymupdf4llm,,69736,1220,33,0,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Yang2025Recasting.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Yang2025Recasting.md
2506.04881,Hustiu2025Structural,Structural Integrality in Task Assignment and Path Finding via Total Unimodularity of Petri Net Models,Ioana Hustiu et al.,2025,G_subgoal_optimization,success,arxiv-e-print,,132157,1499,21,1570,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Hustiu2025Structural.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Hustiu2025Structural.md
2506.09914,Guo2025Theory,From Theory to Practice: Advancing Multi-Robot Path Planning Algorithms and Applications,Teng Guo,2025,A_path_smoothing,success,arxiv-e-print,,278452,1636,87,1566,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Guo2025Theory.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Guo2025Theory.md
2506.11419,Sun2025FocalAD,FocalAD: Local Motion Planning for End-to-End Autonomous Driving,Bin Sun et al.,2025,N_path_repair,success,arxiv-e-print,,43736,300,16,77,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Sun2025FocalAD.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Sun2025FocalAD.md
2506.13421,Zheng2025Delayed,Delayed Expansion AGT: Kinodynamic Planning with Application to Tractor-Trailer Parking,Dongliang Zheng et al.,2025,P_nonholonomic_constraints,success,arxiv-e-print,,45287,307,15,246,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Zheng2025Delayed.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Zheng2025Delayed.md
2506.16748,Chakravarty2025Scalable,A Scalable Post-Processing Pipeline for Large-Scale Free-Space Multi-Agent Path Planning with PiBT,Arjo Chakravarty et al.,2025,F_hybrid_astar;H_hierarchical_planning,success,arxiv-e-print,,28722,284,12,18,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Chakravarty2025Scalable.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Chakravarty2025Scalable.md
2506.20314,Ecker2025Near,Near Time-Optimal Hybrid Motion Planning for Timber Cranes,Marc-Philip Ecker et al.,2025,F_hybrid_astar,success,arxiv-e-print,,44915,299,22,223,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Ecker2025Near.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Ecker2025Near.md
2506.22827,Schakkal2025Hierarchical,Hierarchical Vision-Language Planning for Multi-Step Humanoid Manipulation,André Schakkal et al.,2025,N_path_repair,success,arxiv-e-print,,48797,521,36,118,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Schakkal2025Hierarchical.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Schakkal2025Hierarchical.md
