difficulty_bucket,query_id,expansion_idx,state_x,state_y,state_theta,goal_x,goal_y,goal_theta,nearest_obstacle_m,oracle_a_failure_reason,oracle_b_failure_reason,candidate_raw_count,candidate_rs_reachable_count,oracle_b_attempted_candidate_count,oracle_b_selected_candidate_source,oracle_b_total_path_length_m,oracle_b_min_clearance_m,oracle_b_direction_switches,source_head
Extreme,extreme_s00_q0006,32,23.54383061213649,11.930432242408356,-2.930937042155919,9.3,11.100000000000001,-3.0694290246301357,0.8246211409568787,timeout,,344,37,2,goal_annulus,16.02401901954975,0.08241262429070373,4.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,40,23.841846654289014,12.017550365938206,2.9137562825494507,9.3,11.100000000000001,-3.0694290246301357,0.7071067690849304,timeout,,344,37,1,goal_annulus,15.707164741839302,0.07266531921520236,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,48,23.868043594793793,11.840996597820176,-2.769429024630136,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,344,37,1,goal_annulus,16.540231011337042,0.06011575143603698,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,56,25.322356936501393,12.144725047953624,-2.9079210071043526,9.3,11.100000000000001,-3.0694290246301357,1.2041594982147217,timeout,,345,37,2,goal_annulus,17.2562950073972,0.06072009185089711,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,64,24.175697236938653,11.843654520748567,-2.630937042155919,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,345,38,2,voronoi_skeleton,16.49874187755097,0.0608995110759315,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,72,23.642941570196136,11.56896780473628,-2.769429024630136,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,344,37,1,goal_annulus,16.252396433226043,0.07778794610475859,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,80,23.390515397971036,11.403780129864732,-2.630937042155919,9.3,11.100000000000001,-3.0694290246301357,0.7071067690849304,timeout,,396,37,1,goal_annulus,16.442949286183538,0.06654365518162231,2.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,88,23.400804850050648,11.389713287096221,-2.792445059681702,9.3,11.100000000000001,-3.0694290246301357,0.7071067690849304,timeout,,397,38,6,goal_annulus,17.412079724490987,0.0751760843873216,4.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,96,23.848818642500024,12.106941771217329,2.9137562825494507,9.3,11.100000000000001,-3.0694290246301357,0.6082762479782104,timeout,,344,37,2,goal_annulus,15.723772182662643,0.07075791136650378,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,104,24.179330748863627,11.819391935886198,-3.0694290246301357,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,345,38,1,goal_annulus,16.08821883424439,0.08241262429070628,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,112,24.23156926589469,11.648720760619604,-2.469429024630136,9.3,11.100000000000001,-3.0694290246301357,1.100000023841858,timeout,,345,38,1,goal_annulus,16.65219332283109,0.06380780959998716,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,120,23.66909830005547,11.432573897523344,-2.769429024630136,9.3,11.100000000000001,-3.0694290246301357,1.0049875974655151,timeout,,396,37,1,goal_annulus,16.00234063123496,0.06216559273440769,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,128,23.696134956535072,11.376475760978655,-2.630937042155919,9.3,11.100000000000001,-3.0694290246301357,1.0049875974655151,timeout,,397,38,1,goal_annulus,16.06324478630562,0.07044365398874453,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,136,23.678213976236446,11.41763078761114,-2.930937042155919,9.3,11.100000000000001,-3.0694290246301357,1.0049875974655151,timeout,,397,38,2,voronoi_skeleton,15.83842233275667,0.05469306968852483,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
